Title,Nombre en Inglés,Nombre en Español,Definición,Ejemplo
Código 400,Bad Request,Solicitud incorrecta,La solicitud del cliente no se pudo comprender debido a una sintaxis incorrecta.,GET /index.html HTTP/1.1 Host: example.com
Código 401,Unauthorized,No autorizado,El cliente no está autorizado para acceder al recurso solicitado.,GET /secure-page.html HTTP/1.1 Host: example.com
Código 402,Payment Required,Requiere pago,"Este código se solía utilizar para indicar que el cliente debía realizar un pago para acceder al recurso solicitado, pero ya no se utiliza.",N/A
Código 403,Forbidden,Prohibido,"El cliente está autenticado, pero no tiene permiso para acceder al recurso solicitado.",GET /admin-page.html HTTP/1.1 Host: example.com
Código 404,Not Found,No encontrado,El servidor no pudo encontrar el recurso solicitado.,GET /non-existent-page.html HTTP/1.1 Host: example.com
Código 405,Method Not Allowed,Método no permitido,El método de solicitud utilizado no está permitido en el recurso solicitado.,DELETE /index.html HTTP/1.1 Host: example.com
Código 406,Not Acceptable,No aceptable,El servidor no puede producir una respuesta que sea aceptable según los encabezados Accept enviados en la solicitud del cliente.,GET /index.html HTTP/1.1 Host: example.com Accept: application/json
Código 407,Proxy Authentication Required,Se requiere autenticación de proxy,El cliente debe autenticarse con el proxy antes de poder acceder al recurso solicitado.,GET /secure-page.html HTTP/1.1 Host: example.com Proxy-Authorization: Basic QWxhZGRpbjpvcGVuIHNlc2FtZQ==
Código 408,Request Timeout,Tiempo de espera de la solicitud,El servidor ha esperado demasiado tiempo para recibir la solicitud del cliente.,GET /index.html HTTP/1.1 Host: example.com
Código 409,Conflict,Conflicto,La solicitud del cliente entró en conflicto con el estado actual del recurso.,"PUT /resource HTTP/1.1 Host: example.com If-Match: ""abc123"" Content-Type: application/json Content-Length: 100 {""name"": ""Resource Name""}"
Código 410,Gone,Desaparecido,El recurso solicitado ya no está disponible y no se sabe si volverá a estar disponible en el futuro.,GET /old-page.html HTTP/1.1 Host: example.com
Código 411,Length Required,Longitud requerida,El servidor requiere que el cliente incluya un encabezado Content-Length en la solicitud.,POST /submit-form HTTP/1.1 Host: example.com Content-Type: application/x-www-form-urlencoded Content-Length: 100
Código 412,Precondition Failed,Falló la condición previa,La condición previa establecida en la solicitud del cliente no se cumplió.,"PUT /resource HTTP/1.1 Host: example.com If-Match: ""abc123"" Content-Type: application/json Content-Length: 100 {""name"": ""Resource Name""}"
Código 413,Request Entity Too Large,Entidad de solicitud demasiado grande,La entidad de la solicitud del cliente es demasiado grande para que el servidor la maneje.,POST /upload-file HTTP/1.1 Host: example.com Content-Type: multipart/form-data Content-Length: 10000000
Código 414,Request-URI Too Long,URI de solicitud demasiado larga,El URI de la solicitud del cliente es demasiado largo para que el servidor lo maneje.,GET /very/long/path/to/resource HTTP/1.1 Host: example.com
Código 415,Unsupported Media Type,Tipo de medio no soportado,El servidor no puede manejar el tipo de medio incluido en la solicitud del cliente.,POST /submit-form HTTP/1.1 Host: example.com Content-Type: application/xml Content-Length: 100
Código 416,Requested Range Not Satisfiable,Rango solicitado no satisfactorio,"La solicitud del cliente incluyó un encabezado Range, y el servidor no puede satisfacer ese rango.",GET /large-file.mp4 HTTP/1.1 Host: example.com Range: bytes=1000000-2000000
Código 417,Expectation Failed,Falló la expectativa,El servidor no puede cumplir con los requisitos en el encabezado Expect enviado en la solicitud del cliente.,"POST /submit-form HTTP/1.1 Host: example.com Expect: 100-continue Content-Type: application/json Content-Length: 100 {""username"": ""johndoe"", ""password"": ""password123""}"
Código 418,I'm a teapot,Soy una tetera,"Este código se utiliza en ocasiones como una broma o un huevo de Pascua, y no tiene un uso real en el protocolo HTTP.",GET /teapot HTTP/1.1 Host: example.com
Código 421,Misdirected Request,Solicitud mal dirigida,La solicitud del cliente se dirigió a un servidor que no puede producir una respuesta.,GET /index.html HTTP/1.1 Host: example.com
Código 422,Unprocessable Entity,Entidad no procesable,"La solicitud del cliente está bien formada, pero no se puede seguir debido a errores semánticos.","POST /submit-form HTTP/1.1 Host: example.com Content-Type: application/json Content-Length: 100 {""username"": """", ""password"": ""password123""}"
Código 423,Locked,Bloqueado,El recurso solicitado está bloqueado y solo disponible para acceso de lectura.,GET /locked-resource HTTP/1.1 Host: example.com
Código 424,Failed Dependency,Dependencia fallida,La solicitud falló debido a una falla en la solicitud previa.,"PUT /resource HTTP/1.1 Host: example.com If-Match: ""abc123"" Content-Type: application/json Content-Length: 100 {""name"": ""Resource Name""}"
Código 426,Upgrade Required,Requiere actualización,El cliente debe actualizar a otra versión del protocolo.,GET /index.html HTTP/1.0 Host: example.com Upgrade: HTTP/2.0
Código 428,Precondition Required,Se requiere condición previa,El servidor requiere que la solicitud del cliente incluya una condición previa.,"PUT /resource HTTP/1.1 Host: example.com Content-Type: application/json Content-Length: 100 {""name"": ""Resource Name""}"
Código 429,Too Many Requests,Demasiadas solicitudes,El cliente ha realizado demasiadas solicitudes en un período de tiempo determinado.,GET /index.html HTTP/1.1 Host: example.com
Código 431,Request Header Fields Too Large,Campos de encabezado de solicitud demasiado grandes,Los encabezados de la solicitud del cliente son demasiado grandes para que el servidor los procese.,GET /index.html HTTP/1.1 Host: example.com Cookie: ...
Código 451,Unavailable For Legal Reasons,No disponible por razones legales,El servidor se niega a responder a la solicitud por razones legales.,GET /censored-resource HTTP/1.1 Host: example.com
